N,T,pk,pm,fx
50,60,0.65,0.0005,1.8738999999999992
55,60,0.65,0.0005,1.8883299999999996
60,60,0.65,0.0005,1.9010800000000003
65,60,0.65,0.0005,1.9011899999999997
70,60,0.65,0.0005,1.90557
75,60,0.65,0.0005,1.9327499999999995
80,60,0.65,0.0005,1.9337499999999994
30,60,0.7,0.0005,1.78605
35,60,0.7,0.0005,1.8109600000000003
40,60,0.7,0.0005,1.8521699999999999
45,60,0.7,0.0005,1.8495999999999997
50,60,0.7,0.0005,1.8679
55,60,0.7,0.0005,1.883989999999999
60,60,0.7,0.0005,1.8845599999999996
65,60,0.7,0.0005,1.9019699999999995
70,60,0.7,0.0005,1.9212900000000008
75,60,0.7,0.0005,1.9300100000000007
80,60,0.7,0.0005,1.92096
30,60,0.75,0.0005,1.7892199999999996
35,60,0.75,0.0005,1.8159100000000006
40,60,0.75,0.0005,1.8439600000000005
45,60,0.75,0.0005,1.8827399999999996
50,60,0.75,0.0005,1.88253
55,60,0.75,0.0005,1.8722699999999997
60,60,0.75,0.0005,1.8942400000000006
65,60,0.75,0.0005,1.9448299999999998
70,60,0.75,0.0005,1.9417500000000003
75,60,0.75,0.0005,1.9363800000000004
80,60,0.75,0.0005,1.94517
30,60,0.8,0.0005,1.7696599999999996
35,60,0.8,0.0005,1.8024600000000004
40,60,0.8,0.0005,1.86167
45,60,0.8,0.0005,1.8493000000000002
50,60,0.8,0.0005,1.86607
55,60,0.8,0.0005,1.9002700000000001
60,60,0.8,0.0005,1.92248
65,60,0.8,0.0005,1.9184199999999998
70,60,0.8,0.0005,1.94059
75,60,0.8,0.0005,1.9429699999999999
80,60,0.8,0.0005,1.9640700000000002
30,60,0.85,0.0005,1.7573300000000005
35,60,0.85,0.0005,1.79441
40,60,0.85,0.0005,1.8454499999999998
45,60,0.85,0.0005,1.8382999999999996
